item_id,category,arm,template_id,counterbalance,prompt_text,answer_A,answer_B,token_A,token_B,gold_control,p_end,p_slot,p_A,p_B,n_tokens,probe_A,probe_B,passes_precondition,precondition_margin
A_000,A,conflict,A1,slot_on_first,"When Richard and David went to the store, he bought a drink. The buyer was",Richard,David,6219,3271,B,17,2,2,4,18,Richard and Alice were talking quietly. He said hello. The speaker was,Jane and David were talking quietly. He said hello. The speaker was,True,2.0305628776550293
A_000,A,control,A1,slot_on_first,"When Jane and David went to the store, he bought a drink. The buyer was",Richard,David,6219,3271,B,17,2,-1,4,18,Richard and Alice were talking quietly. He said hello. The speaker was,Jane and David were talking quietly. He said hello. The speaker was,True,2.0305628776550293
A_001,A,conflict,A1,slot_on_second,"When Charles and Robert went to the store, he bought a drink. The buyer was",Robert,Charles,5199,7516,B,17,4,4,2,18,Emily and Robert were talking quietly. He said hello. The speaker was,Charles and Amy were talking quietly. He said hello. The speaker was,True,2.602324962615967
A_001,A,control,A1,slot_on_second,"When Charles and Amy went to the store, he bought a drink. The buyer was",Robert,Charles,5199,7516,B,17,4,-1,2,18,Emily and Robert were talking quietly. He said hello. The speaker was,Charles and Amy were talking quietly. He said hello. The speaker was,True,2.602324962615967
A_002,A,conflict,A1,slot_on_first,"When Paul and Kevin went to the store, he bought a drink. The buyer was",Paul,Kevin,3362,7939,B,17,2,2,4,18,Paul and Rachel were talking quietly. He said hello. The speaker was,Nancy and Kevin were talking quietly. He said hello. The speaker was,True,2.8390421867370605
A_002,A,control,A1,slot_on_first,"When Nancy and Kevin went to the store, he bought a drink. The buyer was",Paul,Kevin,3362,7939,B,17,2,-1,4,18,Paul and Rachel were talking quietly. He said hello. The speaker was,Nancy and Kevin were talking quietly. He said hello. The speaker was,True,2.8390421867370605
A_003,A,conflict,A1,slot_on_second,"When Joseph and Thomas went to the store, he bought a drink. The buyer was",Thomas,Joseph,5658,7212,B,17,4,4,2,18,Rachel and Thomas were talking quietly. He said hello. The speaker was,Joseph and Lisa were talking quietly. He said hello. The speaker was,True,2.7669167518615723
A_003,A,control,A1,slot_on_second,"When Joseph and Lisa went to the store, he bought a drink. The buyer was",Thomas,Joseph,5658,7212,B,17,4,-1,2,18,Rachel and Thomas were talking quietly. He said hello. The speaker was,Joseph and Lisa were talking quietly. He said hello. The speaker was,True,2.7669167518615723
A_004,A,conflict,A1,slot_on_first,"When Mark and Steven went to the store, he bought a drink. The buyer was",Mark,Steven,2940,8239,B,17,2,2,4,18,Mark and Emily were talking quietly. He said hello. The speaker was,Lisa and Steven were talking quietly. He said hello. The speaker was,True,2.771407127380371
A_004,A,control,A1,slot_on_first,"When Lisa and Steven went to the store, he bought a drink. The buyer was",Mark,Steven,2940,8239,B,17,2,-1,4,18,Mark and Emily were talking quietly. He said hello. The speaker was,Lisa and Steven were talking quietly. He said hello. The speaker was,True,2.771407127380371
