item_id,category,arm,template_id,counterbalance,prompt_text,answer_A,answer_B,token_A,token_B,gold_control,p_end,p_slot,p_A,p_B,n_tokens,passes_precondition,precondition_margin
A_000,A,conflict,A1,slot_on_first|Sarah,"When Joseph and Andrew went to the store, he bought a drink. The buyer was",Joseph,Andrew,7212,6858,B,17,2,2,4,18,True,2.510280132293701
A_000,A,control,A1,slot_on_first|Sarah,"When Sarah and Andrew went to the store, he bought a drink. The buyer was",Joseph,Andrew,7212,6858,B,17,2,-1,4,18,True,2.510280132293701
A_001,A,conflict,A1,slot_on_first|Laura,"When John and Mark went to the store, he bought a drink. The buyer was",John,Mark,1757,2940,B,17,2,2,4,18,True,0.8991599082946777
A_001,A,control,A1,slot_on_first|Laura,"When Laura and Mark went to the store, he bought a drink. The buyer was",John,Mark,1757,2940,B,17,2,-1,4,18,True,0.8991599082946777
A_002,A,conflict,A1,slot_on_first|Kate,"When Thomas and Kevin went to the store, he bought a drink. The buyer was",Thomas,Kevin,5658,7939,B,17,2,2,4,18,False,2.0258898735046387
A_002,A,control,A1,slot_on_first|Kate,"When Kate and Kevin went to the store, he bought a drink. The buyer was",Thomas,Kevin,5658,7939,B,17,2,-1,4,18,False,2.0258898735046387
A_003,A,conflict,A1,slot_on_first|Anna,"When Mark and John went to the store, he bought a drink. The buyer was",Mark,John,2940,1757,B,17,2,2,4,18,False,1.621720790863037
A_003,A,control,A1,slot_on_first|Anna,"When Anna and John went to the store, he bought a drink. The buyer was",Mark,John,2940,1757,B,17,2,-1,4,18,False,1.621720790863037
A_004,A,conflict,A1,slot_on_first|Kate,"When Richard and Michael went to the store, he bought a drink. The buyer was",Richard,Michael,6219,3899,B,17,2,2,4,18,True,1.8730602264404297
A_004,A,control,A1,slot_on_first|Kate,"When Kate and Michael went to the store, he bought a drink. The buyer was",Richard,Michael,6219,3899,B,17,2,-1,4,18,True,1.8730602264404297
A_005,A,conflict,A1,slot_on_first|Grace,"When Andrew and Robert went to the store, he bought a drink. The buyer was",Andrew,Robert,6858,5199,B,17,2,2,4,18,False,1.6894111633300781
A_005,A,control,A1,slot_on_first|Grace,"When Grace and Robert went to the store, he bought a drink. The buyer was",Andrew,Robert,6858,5199,B,17,2,-1,4,18,False,1.6894111633300781
A_006,A,conflict,A1,slot_on_first|Lisa,"When David and Kevin went to the store, he bought a drink. The buyer was",David,Kevin,3271,7939,B,17,2,2,4,18,False,1.1568784713745117
A_006,A,control,A1,slot_on_first|Lisa,"When Lisa and Kevin went to the store, he bought a drink. The buyer was",David,Kevin,3271,7939,B,17,2,-1,4,18,False,1.1568784713745117
A_007,A,conflict,A1,slot_on_first|Rachel,"When Joseph and Kevin went to the store, he bought a drink. The buyer was",Joseph,Kevin,7212,7939,B,17,2,2,4,18,True,2.359731674194336
A_007,A,control,A1,slot_on_first|Rachel,"When Rachel and Kevin went to the store, he bought a drink. The buyer was",Joseph,Kevin,7212,7939,B,17,2,-1,4,18,True,2.359731674194336
A_008,A,conflict,A1,slot_on_first|Laura,"When Joseph and Michael went to the store, he bought a drink. The buyer was",Joseph,Michael,7212,3899,B,17,2,2,4,18,True,2.5195131301879883
A_008,A,control,A1,slot_on_first|Laura,"When Laura and Michael went to the store, he bought a drink. The buyer was",Joseph,Michael,7212,3899,B,17,2,-1,4,18,True,2.5195131301879883
A_009,A,conflict,A1,slot_on_first|Julia,"When Richard and George went to the store, he bought a drink. The buyer was",Richard,George,6219,4502,B,17,2,2,4,18,True,1.3801474571228027
A_009,A,control,A1,slot_on_first|Julia,"When Julia and George went to the store, he bought a drink. The buyer was",Richard,George,6219,4502,B,17,2,-1,4,18,True,1.3801474571228027
A_010,A,conflict,A1,slot_on_first|Sarah,"When Tom and Robert went to the store, he bought a drink. The buyer was",Tom,Robert,4186,5199,B,17,2,2,4,18,True,1.3087835311889648
A_010,A,control,A1,slot_on_first|Sarah,"When Sarah and Robert went to the store, he bought a drink. The buyer was",Tom,Robert,4186,5199,B,17,2,-1,4,18,True,1.3087835311889648
A_011,A,conflict,A1,slot_on_first|Diana,"When Andrew and Steven went to the store, he bought a drink. The buyer was",Andrew,Steven,6858,8239,B,17,2,2,4,18,False,2.170152187347412
A_011,A,control,A1,slot_on_first|Diana,"When Diana and Steven went to the store, he bought a drink. The buyer was",Andrew,Steven,6858,8239,B,17,2,-1,4,18,False,2.170152187347412
A_012,A,conflict,A1,slot_on_first|Nancy,"When Daniel and James went to the store, he bought a drink. The buyer was",Daniel,James,7806,3700,B,17,2,2,4,18,False,2.0462045669555664
A_012,A,control,A1,slot_on_first|Nancy,"When Nancy and James went to the store, he bought a drink. The buyer was",Daniel,James,7806,3700,B,17,2,-1,4,18,False,2.0462045669555664
A_013,A,conflict,A1,slot_on_first|Rachel,"When Andrew and John went to the store, he bought a drink. The buyer was",Andrew,John,6858,1757,B,17,2,2,4,18,False,1.3851418495178223
A_013,A,control,A1,slot_on_first|Rachel,"When Rachel and John went to the store, he bought a drink. The buyer was",Andrew,John,6858,1757,B,17,2,-1,4,18,False,1.3851418495178223
A_014,A,conflict,A1,slot_on_first|Anna,"When Michael and George went to the store, he bought a drink. The buyer was",Michael,George,3899,4502,B,17,2,2,4,18,True,1.1094717979431152
A_014,A,control,A1,slot_on_first|Anna,"When Anna and George went to the store, he bought a drink. The buyer was",Michael,George,3899,4502,B,17,2,-1,4,18,True,1.1094717979431152
A_015,A,conflict,A1,slot_on_first|Diana,"When Tom and George went to the store, he bought a drink. The buyer was",Tom,George,4186,4502,B,17,2,2,4,18,False,1.395155429840088
A_015,A,control,A1,slot_on_first|Diana,"When Diana and George went to the store, he bought a drink. The buyer was",Tom,George,4186,4502,B,17,2,-1,4,18,False,1.395155429840088
A_016,A,conflict,A1,slot_on_first|Grace,"When Brian and Steven went to the store, he bought a drink. The buyer was",Brian,Steven,8403,8239,B,17,2,2,4,18,True,1.8376269340515137
A_016,A,control,A1,slot_on_first|Grace,"When Grace and Steven went to the store, he bought a drink. The buyer was",Brian,Steven,8403,8239,B,17,2,-1,4,18,True,1.8376269340515137
A_017,A,conflict,A1,slot_on_first|Rachel,"When John and Robert went to the store, he bought a drink. The buyer was",John,Robert,1757,5199,B,17,2,2,4,18,True,0.8791670799255371
A_017,A,control,A1,slot_on_first|Rachel,"When Rachel and Robert went to the store, he bought a drink. The buyer was",John,Robert,1757,5199,B,17,2,-1,4,18,True,0.8791670799255371
A_018,A,conflict,A1,slot_on_first|Karen,"When Richard and Mark went to the store, he bought a drink. The buyer was",Richard,Mark,6219,2940,B,17,2,2,4,18,True,1.841662883758545
A_018,A,control,A1,slot_on_first|Karen,"When Karen and Mark went to the store, he bought a drink. The buyer was",Richard,Mark,6219,2940,B,17,2,-1,4,18,True,1.841662883758545
A_019,A,conflict,A1,slot_on_first|Linda,"When Mark and Kevin went to the store, he bought a drink. The buyer was",Mark,Kevin,2940,7939,B,17,2,2,4,18,False,2.2368407249450684
A_019,A,control,A1,slot_on_first|Linda,"When Linda and Kevin went to the store, he bought a drink. The buyer was",Mark,Kevin,2940,7939,B,17,2,-1,4,18,False,2.2368407249450684
A_020,A,conflict,A1,slot_on_first|Susan,"When Thomas and David went to the store, he bought a drink. The buyer was",Thomas,David,5658,3271,B,17,2,2,4,18,True,1.5300006866455078
A_020,A,control,A1,slot_on_first|Susan,"When Susan and David went to the store, he bought a drink. The buyer was",Thomas,David,5658,3271,B,17,2,-1,4,18,True,1.5300006866455078
A_021,A,conflict,A1,slot_on_first|Amy,"When Paul and Brian went to the store, he bought a drink. The buyer was",Paul,Brian,3362,8403,B,17,2,2,4,18,True,1.4045186042785645
