item_id,category,arm,template_id,counterbalance,prompt_text,answer_A,answer_B,token_A,token_B,gold_control,p_end,p_slot,p_A,p_B,n_tokens,probe_A,probe_B,passes_precondition,precondition_margin
A_000,A,conflict,A1,slot_on_first,"When Richard and David went to the store, he bought a drink. The buyer was",Richard,David,7727,5119,B,17,2,2,4,18,Richard and Alice were talking quietly. He said hello. The speaker was,Jane and David were talking quietly. He said hello. The speaker was,True,2.119208812713623
A_000,A,control,A1,slot_on_first,"When Jane and David went to the store, he bought a drink. The buyer was",Richard,David,7727,5119,B,17,2,-1,4,18,Richard and Alice were talking quietly. He said hello. The speaker was,Jane and David were talking quietly. He said hello. The speaker was,True,2.119208812713623
A_001,A,conflict,A1,slot_on_second,"When Charles and Robert went to the store, he bought a drink. The buyer was",Robert,Charles,6911,8444,B,17,4,4,2,18,Emily and Robert were talking quietly. He said hello. The speaker was,Charles and Amy were talking quietly. He said hello. The speaker was,True,2.2073912620544434
A_001,A,control,A1,slot_on_second,"When Charles and Amy went to the store, he bought a drink. The buyer was",Robert,Charles,6911,8444,B,17,4,-1,2,18,Emily and Robert were talking quietly. He said hello. The speaker was,Charles and Amy were talking quietly. He said hello. The speaker was,True,2.2073912620544434
A_002,A,conflict,A1,slot_on_first,"When Paul and Kevin went to the store, he bought a drink. The buyer was",Paul,Kevin,5171,15273,B,17,2,2,4,18,Paul and Rachel were talking quietly. He said hello. The speaker was,Nancy and Kevin were talking quietly. He said hello. The speaker was,True,2.5457170009613037
A_002,A,control,A1,slot_on_first,"When Nancy and Kevin went to the store, he bought a drink. The buyer was",Paul,Kevin,5171,15273,B,17,2,-1,4,18,Paul and Rachel were talking quietly. He said hello. The speaker was,Nancy and Kevin were talking quietly. He said hello. The speaker was,True,2.5457170009613037
A_003,A,conflict,A1,slot_on_second,"When Joseph and Thomas went to the store, he bought a drink. The buyer was",Thomas,Joseph,7195,10092,B,17,4,4,2,18,Rachel and Thomas were talking quietly. He said hello. The speaker was,Joseph and Lisa were talking quietly. He said hello. The speaker was,True,2.443272590637207
A_003,A,control,A1,slot_on_second,"When Joseph and Lisa went to the store, he bought a drink. The buyer was",Thomas,Joseph,7195,10092,B,17,4,-1,2,18,Rachel and Thomas were talking quietly. He said hello. The speaker was,Joseph and Lisa were talking quietly. He said hello. The speaker was,True,2.443272590637207
A_004,A,conflict,A1,slot_on_first,"When Mark and Steven went to the store, he bought a drink. The buyer was",Mark,Steven,4744,19436,B,17,2,2,4,18,Mark and Emily were talking quietly. He said hello. The speaker was,Lisa and Steven were talking quietly. He said hello. The speaker was,True,2.297147035598755
A_004,A,control,A1,slot_on_first,"When Lisa and Steven went to the store, he bought a drink. The buyer was",Mark,Steven,4744,19436,B,17,2,-1,4,18,Mark and Emily were talking quietly. He said hello. The speaker was,Lisa and Steven were talking quietly. He said hello. The speaker was,True,2.297147035598755
A_005,A,conflict,A1,slot_on_second,"When George and John went to the store, he bought a drink. The buyer was",John,George,2516,6086,B,17,4,4,2,18,Rachel and John were talking quietly. He said hello. The speaker was,George and Emily were talking quietly. He said hello. The speaker was,True,2.186333656311035
A_005,A,control,A1,slot_on_second,"When George and Emily went to the store, he bought a drink. The buyer was",John,George,2516,6086,B,17,4,-1,2,18,Rachel and John were talking quietly. He said hello. The speaker was,George and Emily were talking quietly. He said hello. The speaker was,True,2.186333656311035
A_006,A,conflict,A1,slot_on_first,"When Andrew and Mark went to the store, he bought a drink. The buyer was",Andrew,Mark,11116,4744,B,17,2,2,4,18,Andrew and Alice were talking quietly. He said hello. The speaker was,Rachel and Mark were talking quietly. He said hello. The speaker was,True,2.815788745880127
A_006,A,control,A1,slot_on_first,"When Rachel and Mark went to the store, he bought a drink. The buyer was",Andrew,Mark,11116,4744,B,17,2,-1,4,18,Andrew and Alice were talking quietly. He said hello. The speaker was,Rachel and Mark were talking quietly. He said hello. The speaker was,True,2.815788745880127
A_007,A,conflict,A1,slot_on_second,"When Tom and Brian went to the store, he bought a drink. The buyer was",Brian,Tom,14468,6270,B,17,4,4,2,18,Sarah and Brian were talking quietly. He said hello. The speaker was,Tom and Jane were talking quietly. He said hello. The speaker was,True,2.583570957183838
A_007,A,control,A1,slot_on_second,"When Tom and Jane went to the store, he bought a drink. The buyer was",Brian,Tom,14468,6270,B,17,4,-1,2,18,Sarah and Brian were talking quietly. He said hello. The speaker was,Tom and Jane were talking quietly. He said hello. The speaker was,True,2.583570957183838
A_008,A,conflict,A1,slot_on_first,"When Kevin and James went to the store, he bought a drink. The buyer was",Kevin,James,15273,5490,B,17,2,2,4,18,Kevin and Kate were talking quietly. He said hello. The speaker was,Lisa and James were talking quietly. He said hello. The speaker was,True,2.827270269393921
A_008,A,control,A1,slot_on_first,"When Lisa and James went to the store, he bought a drink. The buyer was",Kevin,James,15273,5490,B,17,2,-1,4,18,Kevin and Kate were talking quietly. He said hello. The speaker was,Lisa and James were talking quietly. He said hello. The speaker was,True,2.827270269393921
A_009,A,conflict,A1,slot_on_second,"When Mark and Paul went to the store, he bought a drink. The buyer was",Paul,Mark,5171,4744,B,17,4,4,2,18,Laura and Paul were talking quietly. He said hello. The speaker was,Mark and Carol were talking quietly. He said hello. The speaker was,True,2.349090099334717
A_009,A,control,A1,slot_on_second,"When Mark and Carol went to the store, he bought a drink. The buyer was",Paul,Mark,5171,4744,B,17,4,-1,2,18,Laura and Paul were talking quietly. He said hello. The speaker was,Mark and Carol were talking quietly. He said hello. The speaker was,True,2.349090099334717
A_010,A,conflict,A1,slot_on_first,"When Andrew and Edward went to the store, he bought a drink. The buyer was",Andrew,Edward,11116,12824,B,17,2,2,4,18,Andrew and Anna were talking quietly. He said hello. The speaker was,Helen and Edward were talking quietly. He said hello. The speaker was,True,3.2178897857666016
A_010,A,control,A1,slot_on_first,"When Helen and Edward went to the store, he bought a drink. The buyer was",Andrew,Edward,11116,12824,B,17,2,-1,4,18,Andrew and Anna were talking quietly. He said hello. The speaker was,Helen and Edward were talking quietly. He said hello. The speaker was,True,3.2178897857666016
A_011,A,conflict,A1,slot_on_second,"When Peter and Edward went to the store, he bought a drink. The buyer was",Edward,Peter,12824,7993,B,17,4,4,2,18,Anna and Edward were talking quietly. He said hello. The speaker was,Peter and Amy were talking quietly. He said hello. The speaker was,True,2.899216651916504
A_011,A,control,A1,slot_on_second,"When Peter and Amy went to the store, he bought a drink. The buyer was",Edward,Peter,12824,7993,B,17,4,-1,2,18,Anna and Edward were talking quietly. He said hello. The speaker was,Peter and Amy were talking quietly. He said hello. The speaker was,True,2.899216651916504
A_012,A,conflict,A1,slot_on_first,"When Steven and David went to the store, he bought a drink. The buyer was",Steven,David,19436,5119,B,17,2,2,4,18,Steven and Linda were talking quietly. He said hello. The speaker was,Susan and David were talking quietly. He said hello. The speaker was,True,1.9808497428894043
A_012,A,control,A1,slot_on_first,"When Susan and David went to the store, he bought a drink. The buyer was",Steven,David,19436,5119,B,17,2,-1,4,18,Steven and Linda were talking quietly. He said hello. The speaker was,Susan and David were talking quietly. He said hello. The speaker was,True,1.9808497428894043
A_013,A,conflict,A1,slot_on_second,"When James and Brian went to the store, he bought a drink. The buyer was",Brian,James,14468,5490,B,17,4,4,2,18,Sarah and Brian were talking quietly. He said hello. The speaker was,James and Helen were talking quietly. He said hello. The speaker was,True,2.680604934692383
A_013,A,control,A1,slot_on_second,"When James and Helen went to the store, he bought a drink. The buyer was",Brian,James,14468,5490,B,17,4,-1,2,18,Sarah and Brian were talking quietly. He said hello. The speaker was,James and Helen were talking quietly. He said hello. The speaker was,True,2.680604934692383
A_014,A,conflict,A1,slot_on_first,"When Edward and Thomas went to the store, he bought a drink. The buyer was",Edward,Thomas,12824,7195,B,17,2,2,4,18,Edward and Emily were talking quietly. He said hello. The speaker was,Mary and Thomas were talking quietly. He said hello. The speaker was,True,2.2175164222717285
A_014,A,control,A1,slot_on_first,"When Mary and Thomas went to the store, he bought a drink. The buyer was",Edward,Thomas,12824,7195,B,17,2,-1,4,18,Edward and Emily were talking quietly. He said hello. The speaker was,Mary and Thomas were talking quietly. He said hello. The speaker was,True,2.2175164222717285
A_015,A,conflict,A1,slot_on_second,"When Joseph and Daniel went to the store, he bought a drink. The buyer was",Daniel,Joseph,10213,10092,B,17,4,4,2,18,Helen and Daniel were talking quietly. He said hello. The speaker was,Joseph and Nancy were talking quietly. He said hello. The speaker was,True,2.550912857055664
A_015,A,control,A1,slot_on_second,"When Joseph and Nancy went to the store, he bought a drink. The buyer was",Daniel,Joseph,10213,10092,B,17,4,-1,2,18,Helen and Daniel were talking quietly. He said hello. The speaker was,Joseph and Nancy were talking quietly. He said hello. The speaker was,True,2.550912857055664
A_016,A,conflict,A1,slot_on_first,"When George and Tom went to the store, he bought a drink. The buyer was",George,Tom,6086,6270,B,17,2,2,4,18,George and Jane were talking quietly. He said hello. The speaker was,Diana and Tom were talking quietly. He said hello. The speaker was,True,2.6177124977111816
A_016,A,control,A1,slot_on_first,"When Diana and Tom went to the store, he bought a drink. The buyer was",George,Tom,6086,6270,B,17,2,-1,4,18,George and Jane were talking quietly. He said hello. The speaker was,Diana and Tom were talking quietly. He said hello. The speaker was,True,2.6177124977111816
A_017,A,conflict,A1,slot_on_second,"When Tom and David went to the store, he bought a drink. The buyer was",David,Tom,5119,6270,B,17,4,4,2,18,Grace and David were talking quietly. He said hello. The speaker was,Tom and Rachel were talking quietly. He said hello. The speaker was,True,1.7991156578063965
A_017,A,control,A1,slot_on_second,"When Tom and Rachel went to the store, he bought a drink. The buyer was",David,Tom,5119,6270,B,17,4,-1,2,18,Grace and David were talking quietly. He said hello. The speaker was,Tom and Rachel were talking quietly. He said hello. The speaker was,True,1.7991156578063965
A_018,A,conflict,A1,slot_on_first,"When George and Paul went to the store, he bought a drink. The buyer was",George,Paul,6086,5171,B,17,2,2,4,18,George and Susan were talking quietly. He said hello. The speaker was,Carol and Paul were talking quietly. He said hello. The speaker was,True,3.0872244834899902
A_018,A,control,A1,slot_on_first,"When Carol and Paul went to the store, he bought a drink. The buyer was",George,Paul,6086,5171,B,17,2,-1,4,18,George and Susan were talking quietly. He said hello. The speaker was,Carol and Paul were talking quietly. He said hello. The speaker was,True,3.0872244834899902
A_019,A,conflict,A1,slot_on_second,"When Charles and Brian went to the store, he bought a drink. The buyer was",Brian,Charles,14468,8444,B,17,4,4,2,18,Alice and Brian were talking quietly. He said hello. The speaker was,Charles and Anna were talking quietly. He said hello. The speaker was,True,2.139561176300049
A_019,A,control,A1,slot_on_second,"When Charles and Anna went to the store, he bought a drink. The buyer was",Brian,Charles,14468,8444,B,17,4,-1,2,18,Alice and Brian were talking quietly. He said hello. The speaker was,Charles and Anna were talking quietly. He said hello. The speaker was,True,2.139561176300049
A_020,A,conflict,A1,slot_on_first,"When James and Mark went to the store, he bought a drink. The buyer was",James,Mark,5490,4744,B,17,2,2,4,18,James and Linda were talking quietly. He said hello. The speaker was,Julia and Mark were talking quietly. He said hello. The speaker was,True,2.3005213737487793
A_020,A,control,A1,slot_on_first,"When Julia and Mark went to the store, he bought a drink. The buyer was",James,Mark,5490,4744,B,17,2,-1,4,18,James and Linda were talking quietly. He said hello. The speaker was,Julia and Mark were talking quietly. He said hello. The speaker was,True,2.3005213737487793
A_021,A,conflict,A1,slot_on_second,"When Michael and Joseph went to the store, he bought a drink. The buyer was",Joseph,Michael,10092,6277,B,17,4,4,2,18,Karen and Joseph were talking quietly. He said hello. The speaker was,Michael and Carol were talking quietly. He said hello. The speaker was,True,2.5028891563415527
A_021,A,control,A1,slot_on_second,"When Michael and Carol went to the store, he bought a drink. The buyer was",Joseph,Michael,10092,6277,B,17,4,-1,2,18,Karen and Joseph were talking quietly. He said hello. The speaker was,Michael and Carol were talking quietly. He said hello. The speaker was,True,2.5028891563415527
A_022,A,conflict,A1,slot_on_first,"When Daniel and Tom went to the store, he bought a drink. The buyer was",Daniel,Tom,10213,6270,B,17,2,2,4,18,Daniel and Alice were talking quietly. He said hello. The speaker was,Laura and Tom were talking quietly. He said hello. The speaker was,True,2.566957473754883
A_022,A,control,A1,slot_on_first,"When Laura and Tom went to the store, he bought a drink. The buyer was",Daniel,Tom,10213,6270,B,17,2,-1,4,18,Daniel and Alice were talking quietly. He said hello. The speaker was,Laura and Tom were talking quietly. He said hello. The speaker was,True,2.566957473754883
A_023,A,conflict,A1,slot_on_second,"When Brian and Daniel went to the store, he bought a drink. The buyer was",Daniel,Brian,10213,14468,B,17,4,4,2,18,Susan and Daniel were talking quietly. He said hello. The speaker was,Brian and Julia were talking quietly. He said hello. The speaker was,True,1.5683326721191406
A_023,A,control,A1,slot_on_second,"When Brian and Julia went to the store, he bought a drink. The buyer was",Daniel,Brian,10213,14468,B,17,4,-1,2,18,Susan and Daniel were talking quietly. He said hello. The speaker was,Brian and Julia were talking quietly. He said hello. The speaker was,True,1.5683326721191406
A_024,A,conflict,A1,slot_on_first,"When George and Thomas went to the store, he bought a drink. The buyer was",George,Thomas,6086,7195,B,17,2,2,4,18,George and Anna were talking quietly. He said hello. The speaker was,Emily and Thomas were talking quietly. He said hello. The speaker was,True,2.6522903442382812
A_024,A,control,A1,slot_on_first,"When Emily and Thomas went to the store, he bought a drink. The buyer was",George,Thomas,6086,7195,B,17,2,-1,4,18,George and Anna were talking quietly. He said hello. The speaker was,Emily and Thomas were talking quietly. He said hello. The speaker was,True,2.6522903442382812
A_025,A,conflict,A1,slot_on_second,"When James and David went to the store, he bought a drink. The buyer was",David,James,5119,5490,B,17,4,4,2,18,Mary and David were talking quietly. He said hello. The speaker was,James and Diana were talking quietly. He said hello. The speaker was,True,1.583383560180664
A_025,A,control,A1,slot_on_second,"When James and Diana went to the store, he bought a drink. The buyer was",David,James,5119,5490,B,17,4,-1,2,18,Mary and David were talking quietly. He said hello. The speaker was,James and Diana were talking quietly. He said hello. The speaker was,True,1.583383560180664
A_026,A,conflict,A1,slot_on_first,"When Edward and Daniel went to the store, he bought a drink. The buyer was",Edward,Daniel,12824,10213,B,17,2,2,4,18,Edward and Susan were talking quietly. He said hello. The speaker was,Grace and Daniel were talking quietly. He said hello. The speaker was,True,2.712266445159912
A_026,A,control,A1,slot_on_first,"When Grace and Daniel went to the store, he bought a drink. The buyer was",Edward,Daniel,12824,10213,B,17,2,-1,4,18,Edward and Susan were talking quietly. He said hello. The speaker was,Grace and Daniel were talking quietly. He said hello. The speaker was,True,2.712266445159912
A_027,A,conflict,A1,slot_on_second,"When Edward and John went to the store, he bought a drink. The buyer was",John,Edward,2516,12824,B,17,4,4,2,18,Emily and John were talking quietly. He said hello. The speaker was,Edward and Rachel were talking quietly. He said hello. The speaker was,True,1.8137502670288086
A_027,A,control,A1,slot_on_second,"When Edward and Rachel went to the store, he bought a drink. The buyer was",John,Edward,2516,12824,B,17,4,-1,2,18,Emily and John were talking quietly. He said hello. The speaker was,Edward and Rachel were talking quietly. He said hello. The speaker was,True,1.8137502670288086
A_028,A,conflict,A1,slot_on_first,"When Brian and Robert went to the store, he bought a drink. The buyer was",Brian,Robert,14468,6911,B,17,2,2,4,18,Brian and Karen were talking quietly. He said hello. The speaker was,Helen and Robert were talking quietly. He said hello. The speaker was,True,2.3208184242248535
A_028,A,control,A1,slot_on_first,"When Helen and Robert went to the store, he bought a drink. The buyer was",Brian,Robert,14468,6911,B,17,2,-1,4,18,Brian and Karen were talking quietly. He said hello. The speaker was,Helen and Robert were talking quietly. He said hello. The speaker was,True,2.3208184242248535
A_029,A,conflict,A1,slot_on_second,"When Mark and David went to the store, he bought a drink. The buyer was",David,Mark,5119,4744,B,17,4,4,2,18,Susan and David were talking quietly. He said hello. The speaker was,Mark and Sarah were talking quietly. He said hello. The speaker was,True,1.895981788635254
A_029,A,control,A1,slot_on_second,"When Mark and Sarah went to the store, he bought a drink. The buyer was",David,Mark,5119,4744,B,17,4,-1,2,18,Susan and David were talking quietly. He said hello. The speaker was,Mark and Sarah were talking quietly. He said hello. The speaker was,True,1.895981788635254
A_030,A,conflict,A1,slot_on_first,"When Kevin and Andrew went to the store, he bought a drink. The buyer was",Kevin,Andrew,15273,11116,B,17,2,2,4,18,Kevin and Kate were talking quietly. He said hello. The speaker was,Susan and Andrew were talking quietly. He said hello. The speaker was,True,2.2571630477905273
A_030,A,control,A1,slot_on_first,"When Susan and Andrew went to the store, he bought a drink. The buyer was",Kevin,Andrew,15273,11116,B,17,2,-1,4,18,Kevin and Kate were talking quietly. He said hello. The speaker was,Susan and Andrew were talking quietly. He said hello. The speaker was,True,2.2571630477905273
A_031,A,conflict,A1,slot_on_second,"When Edward and Joseph went to the store, he bought a drink. The buyer was",Joseph,Edward,10092,12824,B,17,4,4,2,18,Emily and Joseph were talking quietly. He said hello. The speaker was,Edward and Susan were talking quietly. He said hello. The speaker was,True,2.5340657234191895
A_031,A,control,A1,slot_on_second,"When Edward and Susan went to the store, he bought a drink. The buyer was",Joseph,Edward,10092,12824,B,17,4,-1,2,18,Emily and Joseph were talking quietly. He said hello. The speaker was,Edward and Susan were talking quietly. He said hello. The speaker was,True,2.5340657234191895
A_032,A,conflict,A1,slot_on_first,"When Steven and Paul went to the store, he bought a drink. The buyer was",Steven,Paul,19436,5171,B,17,2,2,4,18,Steven and Helen were talking quietly. He said hello. The speaker was,Grace and Paul were talking quietly. He said hello. The speaker was,True,3.1037917137145996
A_032,A,control,A1,slot_on_first,"When Grace and Paul went to the store, he bought a drink. The buyer was",Steven,Paul,19436,5171,B,17,2,-1,4,18,Steven and Helen were talking quietly. He said hello. The speaker was,Grace and Paul were talking quietly. He said hello. The speaker was,True,3.1037917137145996
A_033,A,conflict,A1,slot_on_second,"When Thomas and Andrew went to the store, he bought a drink. The buyer was",Andrew,Thomas,11116,7195,B,17,4,4,2,18,Julia and Andrew were talking quietly. He said hello. The speaker was,Thomas and Nancy were talking quietly. He said hello. The speaker was,True,2.676581382751465
A_033,A,control,A1,slot_on_second,"When Thomas and Nancy went to the store, he bought a drink. The buyer was",Andrew,Thomas,11116,7195,B,17,4,-1,2,18,Julia and Andrew were talking quietly. He said hello. The speaker was,Thomas and Nancy were talking quietly. He said hello. The speaker was,True,2.676581382751465
A_034,A,conflict,A1,slot_on_first,"When Michael and Edward went to the store, he bought a drink. The buyer was",Michael,Edward,6277,12824,B,17,2,2,4,18,Michael and Emily were talking quietly. He said hello. The speaker was,Kate and Edward were talking quietly. He said hello. The speaker was,True,2.812596321105957
A_034,A,control,A1,slot_on_first,"When Kate and Edward went to the store, he bought a drink. The buyer was",Michael,Edward,6277,12824,B,17,2,-1,4,18,Michael and Emily were talking quietly. He said hello. The speaker was,Kate and Edward were talking quietly. He said hello. The speaker was,True,2.812596321105957
A_035,A,conflict,A1,slot_on_second,"When Peter and Richard went to the store, he bought a drink. The buyer was",Richard,Peter,7727,7993,B,17,4,4,2,18,Amy and Richard were talking quietly. He said hello. The speaker was,Peter and Rachel were talking quietly. He said hello. The speaker was,True,2.730794906616211
A_035,A,control,A1,slot_on_second,"When Peter and Rachel went to the store, he bought a drink. The buyer was",Richard,Peter,7727,7993,B,17,4,-1,2,18,Amy and Richard were talking quietly. He said hello. The speaker was,Peter and Rachel were talking quietly. He said hello. The speaker was,True,2.730794906616211
